datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-07-26,-0.44496423,-0.63680196,-0.6927843,-0.7036786,-0.6400901,-0.5972866,-0.46498784,-0.3736653,-0.32551107,-0.22243953,-0.26858824,-0.37749285,-0.37962034,-0.46575725,-0.43449923,-0.37472826,-0.15970823,-0.052655034,-0.042331833,-0.15728386,-0.08139762,-0.10468766,-0.19146903,-0.37041265
2015-07-27,-0.5775453,-0.75321925,-0.7833918,-0.69937265,-0.46503073,-0.20667478,-0.0062370608,0.048946537,0.04170657,0.09564185,0.029097961,-0.057446465,-0.10593754,-0.2163405,-0.20518886,-0.109916724,0.06623628,0.16817147,0.061871212,-0.03475315,0.020500455,-0.08127448,-0.3355935,-0.49276367
2015-07-28,-0.6292605,-0.79152596,-0.8109912,-0.6852757,-0.41209897,-0.12440993,0.061988167,0.10341594,0.059500437,0.11249909,0.06670972,-0.035840962,-0.064114116,-0.15519428,-0.1488771,-0.027217563,0.10854897,0.20123039,0.09167076,0.05838767,0.14443128,-0.038926933,-0.32612956,-0.49678227
2015-07-29,-0.62843484,-0.76143575,-0.77131635,-0.6251526,-0.30244094,0.053319573,0.19384523,0.25184777,0.1877599,0.20615757,0.13227971,0.0134851355,-0.01654083,-0.13442713,-0.1692967,-0.06618987,0.034432054,0.10744711,0.055649426,-0.0061997273,0.06345342,-0.12877214,-0.3973838,-0.5433694
2015-07-30,-0.5795063,-0.7487439,-0.8107453,-0.68318206,-0.44983155,-0.15485242,0.12251514,0.1420747,0.06334491,0.068548314,0.07297726,-0.028604578,-0.05164793,-0.15082242,-0.12630863,0.070792615,0.3012849,0.47258878,0.33194256,0.2301776,0.2010414,0.0021514413,-0.29766354,-0.4778567
2015-07-31,-0.56494915,-0.7044947,-0.72769266,-0.5953846,-0.3401672,-0.01707642,0.19411531,0.24556395,0.14787239,0.13697547,0.08745151,-0.023057876,-0.058882643,-0.15763725,-0.14509901,-0.018240038,0.14355014,0.25101462,0.1476582,0.06968356,0.105513364,-0.1016189,-0.33994788,-0.5058038
2015-08-01,-0.42580336,-0.59129035,-0.6307883,-0.6044608,-0.51136565,-0.3533851,-0.18166669,-0.102695934,-0.15087391,-0.14151904,-0.15192804,-0.2522721,-0.2647785,-0.3555211,-0.3267083,-0.204151,-0.042049464,0.09694995,0.060515784,-0.047885824,0.022463685,-0.09537154,-0.30713072,-0.47797218
2015-08-02,-0.43477866,-0.6177449,-0.66969657,-0.6620068,-0.5865065,-0.5170431,-0.42612764,-0.35899785,-0.32846674,-0.2874097,-0.30473772,-0.38480532,-0.4149145,-0.51285446,-0.48531517,-0.38456425,-0.18533577,-0.056717254,0.010299929,-0.041759063,-0.013814986,-0.09543751,-0.20752855,-0.37442568
2015-08-03,-0.59273165,-0.7744906,-0.80915624,-0.67998636,-0.4121996,-0.17233068,0.07246223,0.107013576,0.11214772,0.12689556,0.12898433,0.048458338,-0.004618105,-0.111424655,-0.11430819,-0.009305097,0.17410299,0.30844525,0.23237108,0.18053621,0.20272411,0.029651009,-0.18565772,-0.3410831
2015-08-04,-0.5564577,-0.69250274,-0.71116555,-0.5787507,-0.29664537,0.0008897146,0.15713556,0.25770316,0.25888795,0.262131,0.25448778,0.17480724,0.1333441,0.020569231,-0.025002854,0.056859747,0.13187437,0.26706994,0.18827301,0.09896916,0.23154578,0.03238847,-0.22741787,-0.42097232
